,city_name,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date
0,cape town,-33.93,18.42,64.99,88,0,10.29,ZA,1588726884
1,dzaoudzi,-12.79,45.27,82.4,78,75,12.75,YT,1588727119
2,pisco,-13.7,-76.22,66.2,82,75,12.75,PE,1588727119
3,nikolskoye,59.7,30.79,46.4,65,20,4.47,RU,1588727119
4,vanimo,-2.67,141.3,88.52,62,9,1.63,PG,1588727119
5,sitka,57.05,-135.33,53.6,58,75,5.82,US,1588726996
6,qaanaaq,77.48,-69.36,12.47,83,94,4.63,GL,1588727120
7,barkhan,29.9,69.53,71.74,22,0,8.61,PK,1588727120
8,manavalakurichi,8.13,77.3,78.8,88,40,3.36,IN,1588727120
9,puerto ayora,-0.74,-90.35,78.8,83,40,12.75,EC,1588727120
10,lae,-6.72,146.98,84.2,74,75,9.17,PG,1588727120
11,ushuaia,-54.8,-68.3,39.2,64,95,6.93,AR,1588726973
12,pevek,69.7,170.31,22.08,88,74,2.39,RU,1588727121
13,yellowknife,62.46,-114.35,46.4,39,20,12.75,CA,1588727120
14,launceston,-41.45,147.17,60.01,82,40,13.87,AU,1588727121
15,hithadhoo,-0.6,73.08,84.42,74,93,9.17,MV,1588727121
16,kapaa,22.08,-159.32,78.8,74,90,14.99,US,1588727121
17,nome,64.5,-165.41,46.0,60,1,5.82,US,1588727121
18,ribeira grande,38.52,-28.7,62.2,84,99,14.7,PT,1588727121
19,saskylakh,71.92,114.08,3.09,92,98,9.73,RU,1588727122
20,hermanus,-34.42,19.23,57.99,89,6,8.55,ZA,1588727122
21,narsaq,60.92,-46.05,42.8,75,100,5.5,GL,1588726837
22,dikson,73.51,80.55,8.87,92,88,12.08,RU,1588726955
23,khatanga,71.97,102.5,6.69,90,0,12.93,RU,1588727122
24,rio grande,-32.03,-52.1,57.0,70,5,5.01,BR,1588727122
25,barrow,71.29,-156.79,17.6,78,1,9.17,US,1588727122
26,petropavlovsk-kamchatskiy,53.05,158.65,39.2,80,75,4.47,RU,1588727123
27,neyshabur,36.21,58.8,65.1,36,0,1.95,IR,1588727123
28,bredasdorp,-34.53,20.04,59.0,93,0,1.52,ZA,1588727123
29,hobart,-42.88,147.33,59.0,54,83,16.11,AU,1588727123
30,vila velha,-20.33,-40.29,73.4,83,39,11.41,BR,1588726910
31,zhuhai,22.28,113.57,84.2,88,40,9.17,CN,1588727123
32,atuona,-9.8,-139.03,81.46,71,0,15.17,PF,1588727123
33,te anau,-45.42,167.72,55.62,61,60,4.47,NZ,1588727124
34,bengkulu,-3.8,102.27,80.19,79,92,4.85,ID,1588726899
35,fort nelson,58.81,-122.7,55.4,54,75,5.82,CA,1588727013
36,anadyr,64.75,177.48,26.6,73,0,4.47,RU,1588727124
37,talnakh,69.49,88.4,21.2,85,100,8.95,RU,1588727124
38,ishigaki,24.34,124.16,80.6,94,75,9.17,JP,1588727124
39,butaritari,3.07,172.79,83.1,81,33,12.41,KI,1588727124
40,ngunguru,-35.62,174.5,61.0,59,0,13.0,NZ,1588727125
41,punta arenas,-53.15,-70.92,33.8,65,100,5.82,CL,1588727125
42,new norfolk,-42.78,147.06,57.99,76,93,1.01,AU,1588727125
43,ust-kuyga,70.02,135.6,28.9,93,90,4.29,RU,1588727125
44,yulara,-25.24,130.99,62.6,21,0,5.82,AU,1588727125
45,arraial do cabo,-22.97,-42.03,74.08,86,100,18.28,BR,1588727125
46,mar del plata,-38.0,-57.56,54.0,76,90,11.41,AR,1588726985
47,coahuayana,18.73,-103.68,82.4,45,20,11.41,MX,1588727126
48,nanortalik,60.14,-45.24,40.87,77,100,12.01,GL,1588727126
49,port alfred,-33.59,26.89,63.0,86,9,5.01,ZA,1588727126
50,zhangye,38.93,100.45,53.94,67,100,15.14,CN,1588727126
51,los llanos de aridane,28.66,-17.92,68.0,68,100,6.93,ES,1588727127
52,hilo,19.73,-155.09,82.4,54,90,10.29,US,1588726967
53,vacaresti,44.85,25.48,55.4,100,100,11.41,RO,1588727127
54,canon city,38.44,-105.24,69.01,21,100,8.99,US,1588727006
55,deputatskiy,69.3,139.9,19.45,97,100,4.05,RU,1588727127
56,pacifica,37.61,-122.49,64.99,68,20,21.92,US,1588726930
57,thompson,55.74,-97.86,35.6,51,5,11.41,CA,1588727041
58,busselton,-33.65,115.33,50.0,92,86,24.45,AU,1588726954
59,tomatlan,19.93,-105.25,78.66,60,0,3.96,MX,1588727128
60,upernavik,72.79,-56.15,21.88,89,0,7.34,GL,1588727128
61,kruisfontein,-34.0,24.73,55.74,69,4,6.42,ZA,1588727128
62,broken hill,-31.95,141.43,62.6,42,100,14.99,AU,1588727128
63,bethel,41.37,-73.41,55.4,24,1,8.05,US,1588727129
64,albany,42.6,-73.97,54.0,41,47,6.02,US,1588727111
65,rikitea,-23.12,-134.97,72.68,74,100,13.51,PF,1588727129
66,jamestown,42.1,-79.24,45.0,42,1,10.29,US,1588727129
67,walvis bay,-22.96,14.51,79.72,21,0,11.59,NA,1588727129
68,masakin,35.73,10.58,75.0,69,100,4.7,TN,1588727130
69,otane,-39.88,176.63,52.0,76,100,5.01,NZ,1588727130
70,santa maria,-29.68,-53.81,59.43,76,100,9.93,BR,1588727130
71,waipawa,-41.41,175.52,55.99,58,1,9.17,NZ,1588727130
72,saint-philippe,-21.36,55.77,73.4,78,44,3.36,RE,1588727130
73,madaoua,14.07,5.96,86.81,12,0,9.17,NE,1588727130
74,tuktoyaktuk,69.45,-133.04,30.2,80,90,3.36,CA,1588727131
75,carnarvon,-24.87,113.63,70.97,69,39,16.89,AU,1588727131
76,vidalia,32.22,-82.41,78.8,54,1,4.7,US,1588727132
77,husavik,66.04,-17.34,41.0,60,0,18.34,IS,1588726882
78,bambous virieux,-20.34,57.76,73.99,87,26,1.99,MU,1588727132
79,bacalar,18.67,-88.38,86.0,70,5,11.41,MX,1588727132
80,tessalit,20.2,1.01,85.71,20,0,6.69,ML,1588727132
81,clyde river,70.47,-68.59,5.0,92,1,10.29,CA,1588726945
82,kahului,20.89,-156.47,86.0,45,40,20.8,US,1588727133
83,qui nhon,13.77,109.23,83.88,66,0,5.26,VN,1588726850
84,marawi,8.0,124.29,84.0,81,65,3.0,PH,1588727133
85,borskoye,53.03,51.72,51.58,64,0,10.16,RU,1588727133
86,esperance,-33.87,121.9,57.2,54,40,29.97,AU,1588727133
87,port macquarie,-31.43,152.92,71.01,61,13,1.01,AU,1588727134
88,mahebourg,-20.41,57.7,73.99,87,27,1.99,MU,1588727134
89,tommot,58.96,126.29,49.14,58,0,4.76,RU,1588727134
90,chuy,-33.7,-53.46,55.13,75,17,16.2,UY,1588726955
91,ust-ilimsk,58.0,102.66,35.55,93,100,6.8,RU,1588727134
92,cabo san lucas,22.89,-109.91,86.0,32,5,4.7,MX,1588727134
93,tasiilaq,65.61,-37.64,32.0,88,100,1.12,GL,1588726984
94,gamba,-2.65,10.0,77.95,92,82,4.27,GA,1588727135
95,port hedland,-20.32,118.57,78.8,50,0,6.93,AU,1588726973
96,sola,-13.88,167.55,89.6,75,75,9.22,VU,1588726986
97,port lincoln,-34.73,135.87,65.59,33,96,23.78,AU,1588727136
98,ankpa,7.37,7.63,77.88,81,0,8.1,NG,1588727136
